rank,title,director,actors,genre,Description,runtime,Votes,rating
145,Project Power,Henry Joost,"Jamie Foxx, Joseph Gordon-Levitt, Dominique Fishback, Rodrigo Santoro","Action, Crime, Sci-Fi","When a pill that gives its users unpredictable superpowers for five minutes hits the streets of New Orleans, a teenage dealer and a local cop must team with an ex-soldier to take down the group responsible for its creation.",113,78970,6
146,Meander,Mathieu Turi,"Gaia Weiss, Peter Franzén, Romane Libert, Frédéric Franchitti","Drama, Horror, Mystery",A woman finds herself locked in a series of strange tunnels full of deadly traps.,90,3928,5.8
147,Falling,Viggo Mortensen,"Viggo Mortensen, Lance Henriksen, Terry Chen, Sverrir Gudnason",Drama,"John Peterson lives with his partner Eric and their adopted daughter in Southern California. When he is visited by his aging father who is searching for a place to retire, their two very different worlds collide.",112,4112,6.5
148,Capone,Josh Trank,"Tom Hardy, Linda Cardellini, Matt Dillon, Al Sapienza","Biography, Crime, Drama","The 47-year old Al Capone, after 10 years in prison, starts suffering from dementia and comes to be haunted by his violent past.",103,18469,4.7
149,The Way Back,Gavin O'Connor,"Ben Affleck, Al Madrigal, Janina Gavankar, Michaela Watkins","Drama, Sport","Jack Cunningham was a high school basketball phenom who walked away from the game, forfeiting his future. Years later, when he reluctantly accepts a coaching job at his alma mater, he may get one last shot at redemption.",108,39148,6.7
150,The Dark and the Wicked,Bryan Bertino,"Marin Ireland, Michael Abbott Jr., Julie Oliver-Touchstone, Lynn Andrews",Horror,"On a secluded farm in a nondescript rural town, a man is slowly dying. His family gathers to mourn, and soon a darkness grows, marked by waking nightmares and a growing sense that something evil is taking over the family.",95,12621,6.1
151,A Dark Foe,Maria Gabriela Cardenas,"Oscar Cardenas, Kenzie Dalton, Selma Blair, Graham Greene","Crime, Drama, Horror","A guilt-ridden FBI agent, stranded in the painful memory of the abduction of his sister, suffers from a rare condition known as Nyctophobia, an irrational fear of the dark, and will have to... See full summary »",114,7473,6.7
152,Alone,Johnny Martin,"Tyler Posey, Summer Spiro, Donald Sutherland, Robert Ri'chard","Horror, Thriller","When an outbreak hits, Aidan barricades himself inside his apartment and starts rationing food. His complex is overrun by infected Screamers, and with the world falling apart into chaos, he is left completely alone fighting for his life.",92,2576,4.9
153,Dream Horse,Euros Lyn,"Toni Collette, Owen Teale, Alan David, Lynda Baron","Biography, Comedy, Drama","Dream Alliance is an unlikely race horse bred by small-town Welsh bartender Jan Vokes. With no experience, Jan convinces her neighbors to chip in their meager earnings to help raise Dream in the hopes he can compete with the racing elites.",113,2227,6.9
154,After Love,Aleem Khan,"Joanna Scanlan, Nathalie Richard, Talid Ariss, Nasser Memarzia",Drama,"Set in the port town of Dover, Mary Hussain suddenly finds herself a widow following the unexpected death of her husband. A day after the burial, she discovers he has a secret just twenty-one miles across the English Channel in Calais.",89,469,7.4
155,Été 85,François Ozon,"Félix Lefebvre, Benjamin Voisin, Philippine Velge, Valeria Bruni Tedeschi","Drama, Music","While boating, Alexis's boat capsizes and almost drowns before being rescued by David, who ultimately ends up as his boyfriend.",101,6491,6.9
156,The Duke,Roger Michell,"Matthew Goode, Helen Mirren, Anna Maxwell Martin, Jim Broadbent","Biography, Comedy, Drama","In 1961, Kempton Bunton, a 60 year old taxi driver, steals Goya's portrait of the Duke of Wellington from the National Gallery in London.",96,768,6.5
157,Artemis Fowl,Kenneth Branagh,"Ferdia Shaw, Lara McDonnell, Josh Gad, Tamara Smart","Adventure, Family, Fantasy","Artemis Fowl, a young criminal prodigy, hunts down a secret society of fairies to find his missing father.",95,25637,4.2
158,The SpongeBob Movie: Sponge on the Run,Tim Hill,"Tim Hill, Clancy Brown, Bill Fagerbakke, Rodger Bumpass","Animation, Adventure, Comedy","After SpongeBob's beloved pet snail Gary is snail-napped, he and Patrick embark on an epic adventure to The Lost City of Atlantic City to bring Gary home.",91,15051,6
159,Rifkin's Festival,Woody Allen,"Wallace Shawn, Michael Garvey, Damian Chapa, Bobby Slayton",Comedy,"A married American couple go to the San Sebastian Festival and get caught up in the magic of the event, the beauty and charm of the city and the fantasy of movies.",88,3833,6.1
160,Stay Out of the F**king Attic,Jerren Lauder,"Ryan Francis, Morgan Alexandria, Bryce Fernelius, Michael Flynn",Horror,"A group of ex-cons-turned-movers are convinced by their creepy client to pull an all-nighter. As the night progresses, they uncover the horrors that exist inside his old Victorian mansion.",80,839,4.5
161,Uncle Frank,Alan Ball,"Paul Bettany, Sophia Lillis, Peter Macdissi, Steve Zahn","Comedy, Drama","In 1973, when Frank Bledsoe and his 18-year-old niece Beth take a road trip from Manhattan to Creekville, South Carolina, for the family patriarch's funeral, they're unexpectedly joined by Frank's lover, Walid.",95,17492,7.3
162,Incision,Ali Zamani,"Korrina Rico, Lee Kholafai, Costas Mandylor, Caylee Cowan","Horror, Thriller","Beauty Blogger Alexa Landry only had one fear, plastic surgery. She ultimately had to face this fear when she was kidnapped with her friends by Dr. Cunningham. A deranged plastic surgeon who is obsessed with beautifying his victims.",79,1896,5.8
163,Horizon Line,Mikael Marcimain,"Allison Williams, Alexander Dreymon, Keith David, Pearl Mackie","Adventure, Drama, Thriller",A couple flying on a small plane to attend a tropical island wedding must fight for their lives after their pilot suffers a heart attack.,92,7055,4.7
164,Superintelligence,Ben Falcone,"Melissa McCarthy, James Corden, Bobby Cannavale, Brian Tyree Henry","Comedy, Romance, Sci-Fi","When an all-powerful Superintelligence chooses to study average Carol Peters, the fate of the world hangs in the balance. As the A.I. decides to enslave, save or destroy humanity, it's up to Carol to prove that people are worth saving.",106,7797,5.4
165,Words on Bathroom Walls,Thor Freudenthal,"Charlie Plummer, Andy Garcia, Taylor Russell, AnnaSophia Robb","Drama, Romance","Diagnosed with a mental illness halfway through his senior year of high school, a witty, introspective teen struggles to keep it a secret while falling in love with a brilliant classmate who inspires him to not be defined by his condition.",110,6735,7.2
166,Fatale,Deon Taylor,"Hilary Swank, Michael Ealy, Mike Colter, Damaris Lewis",Thriller,"After a one-night stand, a successful married man finds himself entangled in a cunning police detective's latest investigation.",102,7811,5.4
167,Paydirt,Christian Sesma,"Luke Goss, Val Kilmer, Mike Hatton, Paul Sloan","Crime, Thriller","A parolee teams up with his old crew determined to find a buried bag of cash stolen five years ago from a DEA bust gone bad, while being tracked by a retired Sheriff.",81,3912,4
168,Spree,Eugene Kotlyarenko,"Joe Keery, Sasheer Zamata, David Arquette, Kyle Mooney","Comedy, Crime, Drama","Thirsty for a following, Kurt Kunkle is a rideshare driver who has figured out a deadly plan to go viral.",93,6889,5.9
169,Ma Rainey's Black Bottom,George C. Wolfe,"Viola Davis, Chadwick Boseman, Glynn Turman, Colman Domingo","Drama, Music",Tensions rise when trailblazing blues singer Ma Rainey and her band gather at a recording studio in Chicago in 1927.,94,46127,6.9
170,Occupation: Rainfall,Luke Sparke,"Dan Ewing, Temuera Morrison, Daniel Gillies, Lawrence Makoare","Action, Sci-Fi","Two years after aliens land on Earth, survivors from Sydney, Australia, fight in a desperate war as the number of casualties continue to grow.",128,12858,5.7
171,Summerland,Jessica Swale,"Gemma Arterton, Gugu Mbatha-Raw, Penelope Wilton, Tom Courtenay","Drama, Romance, War","During World War II, an Englishwoman opens her heart to an evacuee after initially resolving to be rid of him in this moving journey of womanhood, love and friendship.",99,5077,7
172,Life in a Year,Mitja Okorn,"Jaden Smith, Cara Delevingne, Cuba Gooding Jr., Chris D'Elia","Drama, Romance",The movie follows 17-year-old Daryn who finds out that his girlfriend is dying. He sets out to give her an entire life in the last year she has left.,107,6650,6.1
173,The Night Clerk,Michael Cristofer,"Tye Sheridan, Ana de Armas, Helen Hunt, John Leguizamo","Crime, Drama, Mystery",A voyeuristic hotel clerk becomes the subject of a murder investigation.,90,13085,5.5
174,Come Play,Jacob Chase,"Azhy Robertson, Gillian Jacobs, John Gallagher Jr., Winslow Fegley","Drama, Horror, Mystery",A monster named Larry manifests itself through smart phones and mobile devices. Feature film version of the 2017 short film.,96,10091,5.7
175,Comment je suis devenu super-héros,Douglas Attal,"Pio Marmaï, Vimala Pons, Benoît Poelvoorde, Leïla Bekhti","Action, Adventure, Comedy","While superheroes have assimilated into Parisian society, a new drug gives super powers to mere mortals.",97,3886,5.8
176,You Should Have Left,David Koepp,"Kevin Bacon, Amanda Seyfried, Avery Tiiu Essex, Colin Blumenau","Horror, Thriller","A former banker, his actress wife, and their spirited daughter book a vacation at an isolated modern home in the Welsh countryside where nothing is quite as it seems.",93,18272,5.4
177,Vanguard,Stanley Tong,"Jackie Chan, Yang Yang, Lun Ai, Miya Muqi","Action, Adventure, Comedy",Covert security company Vanguard is the last hope of survival for an accountant after he is targeted by the world's deadliest mercenary organization.,107,4518,4.7
178,The Prom,Ryan Murphy,"Meryl Streep, James Corden, Nicole Kidman, Kerry Washington","Comedy, Drama, Musical",A troupe of hilariously self-obsessed theater stars swarm into a small conservative Indiana town in support of a high school girl who wants to take her girlfriend to the prom.,130,24940,5.9
179,Serebryanye konki,Michael Lockshin,"Fedor Fedotov, Sonya Priss, Yuriy Borisov, Kirill Zaytsev","Adventure, Drama, Family","The 20th century is just around the corner. In winter, St. Petersburg transforms into a fairy tale-like wonderland where frozen rivers and canals serve as the iced-over roads and bustle ... See full summary »",130,3617,7.1
180,Sky Sharks,Marc Fehse,"Thomas Morris, Eva Habermann, Barbara Nedeljakova, Tony Todd","Comedy, Horror, Sci-Fi","""Deep in the ice of the antarctic, a team of geologists uncover an old nazi laboratory still intact where dark experiments had occured. In order to conquer the world, the Nazis created ... See full summary »",102,1085,3.5
181,Four Good Days,Rodrigo García,"Glenn Close, Mila Kunis, Stephen Root, Joshua Leonard",Drama,A mother helps her daughter work through four crucial days of recovery from substance abuse.,100,2382,6.5
